Cell_Name	clone.id	clone.status	patient	sampleType	stype	majorCluster	loc
PTH88-20170411	CRC.P0411_C000052:25	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH85-20170411	CRC.P0411_C000052:25	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH129-20170411	CRC.P0411_C000052:25	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH104-20170411	CRC.P0411_C000052:25	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH166-20170411	CRC.P0411_C000052:25	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH42-20170411	CRC.P0411_C000052:25	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH113-20170411	CRC.P0411_C000052:25	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH37-20170411	CRC.P0411_C000052:25	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH21-20170411	CRC.P0411_C000052:25	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH49-20170411	CRC.P0411_C000052:25	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH23-20170411	CRC.P0411_C000052:25	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH157-20170411	CRC.P0411_C000052:25	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH108-20170411	CRC.P0411_C000052:25	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
PTH132-20170411	CRC.P0411_C000052:25	Clonal	P0411	PTH	CD4	CD4_C03-GNLY	P
TTH39-20170411	CRC.P0411_C000052:25	Clonal	P0411	TTH	CD4	CD4_C05-CXCR6	T
PTR58-20170411	CRC.P0411_C000054:1	NoClonal	P0411	PTR	CD4	CD4_C01-CCR7	P
PTH130-20170411	CRC.P0411_C000056:1	NoClonal	P0411	PTH	CD4	CD4_C02-ANXA1	P
PTR34-20170411	CRC.P0411_C000057:1	NoClonal	P0411	PTR	CD4	CD4_C10-FOXP3	P
PTH163-20170411	CRC.P0411_C000058:1	NoClonal	P0411	PTH	CD4	CD4_C01-CCR7	P
NTC72-20170411	CRC.P0411_C000059:1	NoClonal	P0411	NTC	CD8	CD8_C05-CD6	N
TTC29-20170411	CRC.P0411_C000060:6	Clonal	P0411	TTC	CD8	CD8_C07-LAYN	T
TTC16-20170411	CRC.P0411_C000060:6	Clonal	P0411	TTC	CD8	CD8_C04-GZMK	T
TTC56-20170411	CRC.P0411_C000060:6	Clonal	P0411	TTC	CD8	CD8_C04-GZMK	T
TTC81-20170411	CRC.P0411_C000060:6	Clonal	P0411	TTC	CD8	CD8_C07-LAYN	T
TTC23-20170411	CRC.P0411_C000060:6	Clonal	P0411	TTC	CD8	CD8_C07-LAYN	T
TTC49-20170411	CRC.P0411_C000060:6	Clonal	P0411	TTC	CD8	CD8_C04-GZMK	T
NTC134-20170411	CRC.P0411_C000063:2	Clonal	P0411	NTC	CD8	CD8_C06-CD160	N
NTC40-20170411	CRC.P0411_C000063:2	Clonal	P0411	NTC	CD8	CD8_C06-CD160	N
NTC94-20170411	CRC.P0411_C000064:3	Clonal	P0411	NTC	CD8	CD8_C06-CD160	N
NTC4-20170411	CRC.P0411_C000064:3	Clonal	P0411	NTC	CD8	CD8_C06-CD160	N
NTC19-20170411	CRC.P0411_C000064:3	Clonal	P0411	NTC	CD8	CD8_C06-CD160	N
PTH6-20170411	CRC.P0411_C000065:1	NoClonal	P0411	PTH	CD4	CD4_C02-ANXA1	P
